15.919,-40.595,17.921,-41.441,22.719,0
15.644,-40.283,17.919,-41.315,NaN,NaN
15.776,-40.282,17.825,-41.378,NaN,NaN
15.596,-40.193,17.84,-41.31,NaN,NaN
15.523,-40.241,17.95,-41.395,NaN,NaN
15.274,-40.242,17.59,-41.198,NaN,NaN
15.238,-40.207,17.545,-41.076,NaN,NaN
15.016,-40.236,17.454,-40.749,NaN,NaN
14.955,-40.242,17.373,-40.75,NaN,NaN
14.733,-40.259,17.376,-40.832,NaN,NaN
14.642,-40.227,17.376,-40.832,NaN,NaN
14.656,-40.224,17.38,-40.954,NaN,NaN
14.367,-40.473,16.85,-40.835,NaN,NaN
13.964,-40.296,16.48,-40.633,NaN,NaN
13.912,-40.027,16.48,-40.633,NaN,NaN
13.69,-39.984,16.197,-40.594,NaN,NaN
13.643,-39.894,15.874,-40.597,NaN,NaN
13.637,-39.714,15.99,-40.432,NaN,NaN
13.671,-39.613,15.824,-40.31,NaN,NaN
13.762,-39.459,15.827,-40.206,NaN,NaN
13.751,-39.303,15.829,-40.171,NaN,NaN
13.495,-39.401,15.813,-40.218,NaN,NaN
13.315,-39.267,15.824,-40.206,NaN,NaN
13.315,-39.267,15.825,-40.229,NaN,NaN
13.315,-39.267,15.824,-40.227,NaN,NaN
13.133,-39.089,15.792,-40.2,NaN,NaN
13.056,-39.073,15.807,-40.3,NaN,NaN
12.985,-39.015,14.89,-40.072,NaN,NaN
12.79,-38.976,14.733,-39.881,NaN,NaN
12.712,-38.967,14.43,-39.737,NaN,NaN
12.587,-38.509,14.188,-39.574,NaN,NaN
12.51,-38.261,14.017,-39.487,NaN,NaN
12.521,-37.943,14.151,-39.627,NaN,NaN
12.501,-37.666,14.155,-39.633,NaN,NaN
12.509,-37.432,14.071,-39.636,NaN,NaN
12.547,-37.258,14.071,-39.628,NaN,NaN
12.422,-37.385,14.074,-39.633,NaN,NaN
12.574,-37.287,14.088,-39.633,NaN,NaN
12.533,-37.285,14.05,-39.631,NaN,NaN
12.556,-37.273,14.077,-39.639,NaN,NaN
12.557,-37.296,14.065,-39.639,NaN,NaN
12.548,-37.288,14.071,-39.633,NaN,NaN
12.539,-37.302,14.063,-39.648,NaN,NaN
12.557,-37.302,14.068,-39.642,NaN,NaN
12.421,-37.28,14.019,-39.646,NaN,NaN
12.16,-37.433,14.011,-39.666,NaN,NaN
11.991,-37.704,13.991,-39.667,NaN,NaN
11.852,-37.569,13.894,-39.096,NaN,NaN
11.825,-37.436,13.686,-38.876,NaN,NaN
11.607,-37.255,13.499,-38.521,NaN,NaN
11.482,-37.035,13.449,-39.018,NaN,NaN
11.285,-36.765,13.239,-38.733,NaN,NaN
11.184,-36.471,13.061,-38.545,NaN,NaN
10.99,-36.213,13.074,-38.389,NaN,NaN
10.862,-35.843,13.078,-38.259,NaN,NaN
10.631,-35.585,12.339,-38.167,NaN,NaN
10.404,-35.287,12.45,-37.837,NaN,NaN
10.349,-35.514,12.242,-37.593,NaN,NaN
10.41,-35.517,12.281,-37.552,NaN,NaN
10.474,-35.54,12.265,-37.591,NaN,NaN
10.483,-35.537,12.274,-37.588,NaN,NaN
10.474,-35.543,12.262,-37.591,NaN,NaN
10.497,-35.537,12.276,-37.582,NaN,NaN
10.48,-35.534,12.277,-37.597,NaN,NaN
10.489,-35.546,12.271,-37.591,NaN,NaN
10.492,-35.551,12.268,-37.594,NaN,NaN
10.48,-35.54,12.271,-37.591,NaN,NaN
10.486,-35.549,12.265,-37.597,NaN,NaN
10.477,-35.546,12.274,-37.6,NaN,NaN
10.127,-35.426,12.226,-37.621,NaN,NaN
9.8155,-35.25,12.246,-37.624,NaN,NaN
9.4706,-35.479,12.23,-37.659,NaN,NaN
9.3368,-35.391,12.237,-37.606,NaN,NaN
9.0312,-35.44,11.988,-37.103,NaN,NaN
8.8548,-35.397,11.658,-36.827,NaN,NaN
8.7268,-35.534,11.385,-36.646,NaN,NaN
8.5288,-35.54,11.116,-36.599,NaN,NaN
8.4315,-35.557,10.81,-36.573,NaN,NaN
8.2355,-35.524,10.531,-36.375,NaN,NaN
8.1303,-35.57,10.228,-36.328,NaN,NaN
7.9246,-35.493,10.288,-36.464,NaN,NaN
7.6551,-35.509,10.176,-36.435,NaN,NaN
7.3875,-35.483,10.184,-36.411,NaN,NaN
7.2653,-34.879,9.9632,-36.303,NaN,NaN
7.0837,-34.77,9.4424,-36.269,NaN,NaN
6.9896,-34.668,9.2036,-36.313,NaN,NaN
6.9665,-34.539,9.0027,-36.274,NaN,NaN
7.0171,-34.369,9.0027,-36.274,NaN,NaN
6.9844,-34.32,9.0027,-36.274,NaN,NaN
7.1152,-34.07,9.0027,-36.274,NaN,NaN
6.987,-33.933,9.0027,-36.274,NaN,NaN
6.9745,-33.758,8.7883,-35.702,NaN,NaN
6.8424,-33.622,8.6664,-35.415,NaN,NaN
6.6466,-33.448,8.4895,-35,NaN,NaN
6.5038,-33.208,8.3944,-34.748,NaN,NaN
6.3262,-32.939,8.2257,-34.298,NaN,NaN
6.2224,-32.636,8.0874,-34.155,NaN,NaN
6.0548,-32.427,7.9641,-33.79,NaN,NaN
6.0179,-32.026,7.817,-33.503,NaN,NaN
6.3579,-31.377,7.7589,-33.22,NaN,NaN
6.2683,-30.966,7.5694,-33.131,NaN,NaN
6.313,-30.625,7.5713,-33.213,NaN,NaN
6.3123,-30.291,7.6402,-33.169,NaN,NaN
6.3203,-29.963,7.6053,-33.146,NaN,NaN
6.3316,-29.65,7.0681,-32.07,NaN,NaN
